id	label
1277969650051997701	1
1263161378627600385	0
1255919996779315208	0
1282361712117780486	0
1267872916009615364	0
1286821839461851138	1
1242831505539444739	0
1245273112305971200	0
1250159489598324744	0
1283375865003474944	0
1256170166100123651	0
1247890454697263105	0
1257366578200543233	1
1270075663895138305	0
1288215731113426946	0
1271156888026177539	0
1266655061918318593	0
1262647238494470145	0
1283011421832466432	0
1266345907840303105	0
1254008317380354048	1
1276125360019685377	0
1261734216544518144	0
1252986202539667460	1
1284434635490045953	1
1284840696755769344	0
1249269528762224640	1
1263604531872649216	0
1254107960789344257	1
1243289823504465924	0
1246972288353828864	0
1250810063272411137	0
1260367017338638338	1
1263896291723141136	0
1260808998283931648	1
1255823318017507328	0
1253566443469275136	0
1252000536834060296	1
1265627773277802498	0
1255537203746398208	0
1281189030185459712	0
1278069425472704512	0
1278072282326409218	0
1259114789508468736	1
1243279400327667714	0
1267554740952498177	0
1268673106895396864	0
1277223811713294336	0
1267216986280468481	0
1250034310259843073	0
1252391085688545280	0
1270684686017232899	0
1254383421922705408	0
1288569072599343106	0
1293185604105039874	0
1257330067551682562	0
1253455104700792834	1
1254352359003652098	0
1264541099156267010	0
1245442021248073730	0
1268463587409956864	0
1276223641257197569	0
1283308088527851521	0
1259091435565039617	0
1250095169136988161	1
1274815029980905472	0
1254718215319584768	0
1267772547384446977	0
1269937226848354304	0
1254511059832123393	0
1284836695419092999	0
1255967258947567624	0
1264355610910502918	0
1255058327425466368	0
1284798419874254848	0
1258840981933371392	0
1266698020466425859	0
1277747062688362504	0
1273697677415518208	0
1244354358327873538	0
1274990914432360449	0
1249238566598819841	0
1271361990670204929	0
1280030577345941509	0
1287998331961180161	0
1292978140579532801	0
1293561267601510402	0
1284477093351481346	0
1262405183381868546	0
1251615966343151616	0
1249653421612978176	0
1268190240616919046	0
1274590854490062849	0
1245833026837282817	1
1266250044174290944	1
1286300885597990912	1
1262328949276921856	0
1247117817796845569	0
1258645469401579521	1
1254326765297848320	1
1244732684846403597	0
1257637333253476359	0
1291415935052587010	0
1272115421496442880	1
1248342114578108417	0
1268208238056607744	1
1256103196478574592	0
1251525338967965696	1
1251431500542705666	0
1269723338760425472	0
1252536837735882759	0
1262703252505755648	0
1257955351145648128	0
1268153602956288000	1
1264080028373049344	0
1249669712465797122	1
1254332918534737920	0
1256870606391447554	0
1260839312238751744	0
1291103303800107009	0
1256913257782272000	0
1282280973502210049	0
1274618736994136064	1
1291980884745347072	1
1288021767752167424	0
1275152881176494080	0
1271814454590799872	1
1271487407850913792	0
1247104312645476352	1
1291317679803052033	1
1260960955191767040	0
1245773866447880193	0
1251117993234518016	0
1242911907994099712	0
1293545412066975744	0
1245260902540234755	0
1252225826357215234	1
1268927306539716611	0
1286987404973350912	0
1258001533364580352	1
1284500627209564161	0
1244734132065832961	0
1261947154102435841	0
1264164266568974342	1
1276685853226602496	0
1260125052596555776	0
1256894590541533185	0
1250826559834984450	0
1264144884400881664	1
1261576409652310022	0
1253339170379976706	1
1277485800561795073	0
1261729430591995904	0
1280649055690018816	0
1254912508764307456	0
1281177674056994816	0
1250236752998084608	0
1258327578475102209	1
1252648275666141185	0
1259078266285064193	0
1253851152397066244	1
1255118931414732803	0
1270955155970764804	1
1247451059179700224	0
1263849438751195136	0
1261012410942599168	0
1243551271040307200	1
1270127233500405767	1
1254734993512857600	0
1254864617601486850	1
1261436084891811841	0
